CarID,Make,Model,Year,VIN,LicensePlate,Color,LeaseStartDate,LeaseEndDate,MonthlyLeaseRate,LeaseStatus,OdometerReading,MaintenanceDueDate,LesseeID,InsurancePolicyNumber,InsuranceExpiryDate,RegistrationExpiryDate,PurchaseDate,PurchasePrice,DepreciationRate,CurrentValue,LeaseDeposit,LeaseTerminationFee,ServiceHistory,DamageHistory,CustomFeatures,LocationID,FleetID,Notes
103,Toyota,Civic,2019,Z7JX266WPFY75597,PKP334,Silver,5/24/2019,12/14/2020,630,Pending,6221,4/27/2024,1484,POLICY686,3/23/2018,7/26/2018,10/14/2023,24200,0.29,19200,430,1530,Full inspection completed,,Sunroof,5103,2,Check engine light reported
104,Audi,Model S,2023,V3VC567CLNE66240,YQS659,Gray,7/27/2021,10/3/2023,350,Pending,2859,8/11/2024,4293,POLICY165,8/6/2023,8/23/2022,9/12/2022,26700,0.22,14300,1220,4580,,,,3884,5,
105,Honda,Model S,2021,C3MY275MUZD09428,YRU349,Silver,12/3/2020,3/25/2023,800,Ended,6657,9/20/2024,507,POLICY572,10/14/2018,7/3/2023,1/4/2023,17700,0.27,11000,950,3360,Routine maintenance,Minor scratch on door,Sport package,4174,3,
106,Ford,Civic,2021,Z1EC720PHEB42437,YSI652,Black,10/6/2022,11/15/2022,430,Ended,5532,5/22/2024,3917,POLICY919,2/16/2019,12/23/2020,9/19/2017,27600,0.26,17100,960,2200,New tires installed,,Upgraded audio system,6375,2,Regular maintenance required
107,Audi,Golf,2022,L3KM948RZYB48534,CZK177,Gray,5/11/2023,9/6/2023,730,Active,6120,3/28/2024,4155,POLICY831,7/26/2019,8/19/2023,11/9/2020,29500,0.16,11800,1290,2260,Tire rotation,,,4552,4,New addition to fleet
108,Toyota,A4,2023,A0GW525GGYS99752,HYI205,White,12/16/2019,5/9/2022,530,Ended,6811,10/23/2024,3615,POLICY424,8/16/2022,5/7/2018,6/6/2020,27300,0.11,21300,1010,4480,Brake system serviced,Front windshield replaced,,5486,4,handle with care
109,Chevrolet,Silverado,2017,Z8ZH309BMYA96988,GPW217,Green,2/2/2017,2/12/2017,350,Ended,9765,4/8/2024,8891,POLICY702,4/22/2021,1/1/2020,3/28/2021,16400,0.13,11400,1450,4300,Tire rotation,,,6434,4,Multiple lessees
110,Honda,A4,2019,Z5RA958PDEF33828,XUY594,Yellow,12/25/2021,7/15/2023,480,Pending,9295,5/9/2024,9603,POLICY155,8/1/2022,2/1/2019,3/12/2021,24000,0.14,16300,930,3020,Tire rotation,,Upgraded audio system,9076,3,
111,Tesla,A4,2020,W5EA131CBLF41719,RQB459,White,5/21/2021,5/29/2021,390,Ended,687,3/11/2024,9762,POLICY702,3/7/2021,4/27/2020,4/17/2021,25800,0.27,10700,830,4290,AC system overhaul,,Upgraded audio system,6719,3,
112,Toyota,Model S,2019,U8CK471KKST07715,JSN054,Silver,8/31/2017,4/26/2022,340,Pending,3391,6/26/2024,8105,POLICY765,7/2/2021,3/9/2018,11/16/2021,26700,0.2,19600,1370,1040,Oil change,,Safety package,6337,4,well maintained
113,Chevrolet,Silverado,2023,P4XJ052XKER03701,DPE681,Green,1/21/2023,10/29/2023,260,Ended,3074,9/17/2024,2223,POLICY030,7/13/2022,12/12/2022,8/21/2023,15300,0.28,12900,470,2330,AC system overhaul,Windshield chip repair,blind spot monitor,7166,2,
114,Audi,Model S,2023,F4GF179DSAW65725,IGN471,White,10/13/2019,11/10/2019,490,Active,4409,9/14/2024,8753,POLICY200,6/23/2021,8/23/2019,4/7/2021,18200,0.23,12700,1230,1510,,,keyless entry,2106,1,
115,Nissan,Silverado,2020,C6AT529AAYV86944,NYL547,Orange,12/18/2020,2/2/2022,580,Ended,9748,3/4/2024,266,POLICY462,4/11/2020,12/13/2021,5/26/2021,27100,0.21,10300,700,930,,,All-wheel drive,2438,4,
116,Toyota,3 Series,2022,V9RH352DFEB38386,VYP935,Gray,9/16/2019,10/7/2023,550,Ended,4290,6/3/2024,243,POLICY622,8/21/2017,10/6/2023,7/21/2020,19800,0.14,17200,1030,3860,,Windshield chip repair,GPS navigation,8315,4,
117,Tesla,F-150,2019,P2YW393FEMX01040,IYF090,Gray,6/29/2021,10/21/2022,430,Active,4493,11/10/2024,751,POLICY417,4/28/2019,5/20/2021,2/14/2018,21200,0.19,20300,420,4870,New tires installed,Replaced tail light,Sport package,2226,2,
118,Honda,C-Class,2020,L6MG964PJMU09210,AFP787,White,4/3/2019,9/16/2023,450,Ended,8070,6/17/2024,2798,POLICY749,7/23/2020,2/11/2020,4/25/2018,20300,0.13,15300,1100,2250,,,navigation system,6820,5,
119,Honda,Model S,2019,S9NL234TZTE43936,LWA845,Gray,2/23/2018,7/23/2018,780,Ended,47,11/18/2024,749,POLICY395,2/20/2023,12/26/2018,10/6/2019,27600,0.28,22000,1140,3400,Brake system serviced,,alloy wheels,5617,3,Lease extension possible
120,Chevrolet,A4,2022,S0XV276BUGB68786,EYR967,Yellow,4/18/2018,7/25/2022,430,Pending,4676,8/15/2024,311,POLICY779,3/18/2019,3/30/2022,3/1/2019,17000,0.13,11300,280,4340,Oil change,,,9660,3,
121,Ford,F-150,2018,K7KR640TPAM43029,XSD526,Blue,1/25/2020,4/30/2022,350,Active,9091,11/4/2024,1000,POLICY240,4/18/2021,2/10/2021,5/1/2022,19000,0.23,14600,790,2620,AC system overhaul,,roof rack,6381,4,
122,Ford,3 Series,2018,K5FB864AKGH46372,UCM376,Silver,7/6/2023,8/10/2023,700,Ended,5156,10/13/2024,6450,POLICY617,6/3/2018,11/17/2022,12/17/2018,25400,0.26,18100,1500,4920,Tire rotation,,,1002,5,
123,Mercedes-Benz,C-Class,2019,J5EL648RCPS37676,KCF226,Gray,1/28/2020,7/9/2021,360,Active,195,8/9/2024,8132,POLICY628,8/9/2019,10/11/2022,3/28/2017,28600,0.17,15100,500,1750,Tire rotation,,,4292,2,Multiple lessees
124,Ford,Model S,2018,A1FH883DKBA98833,IMJ942,Yellow,10/6/2019,8/14/2020,540,Active,6127,11/10/2024,5735,POLICY591,6/24/2017,1/7/2018,3/31/2020,28300,0.17,18800,500,2500,New tires installed,Replaced tail light,keyless entry,8812,5,Multiple lessees
125,Honda,A4,2020,X1MA014PZUZ12504,HCT435,Yellow,3/3/2021,1/28/2022,420,Pending,1595,3/24/2024,2863,POLICY550,2/23/2020,1/13/2023,10/14/2018,27600,0.17,12200,930,3320,Air filter replaced,Scratch on hood,,6862,2,
126,Ford,C-Class,2021,L2MT857CEZB75390,MPJ381,Black,11/21/2020,8/24/2022,640,Pending,178,2/21/2024,7620,POLICY219,9/20/2017,3/1/2018,5/22/2020,27800,0.27,16000,830,4930,Brake pads,,navigation system,4765,4,Suitable for colder regions
127,Honda,Silverado,2017,E7VE494HYGX09427,FPJ095,Gray,11/26/2021,8/29/2022,760,Ended,3748,12/11/2024,1580,POLICY347,11/16/2020,3/2/2018,6/16/2022,28800,0.2,19200,1000,3370,Transmission serviced,,Premium sound system,4977,5,Suitable for colder regions
128,Ford,Altima,2017,S7EZ768YZXG31061,MDE042,Blue,9/28/2022,9/19/2023,760,Active,6224,10/7/2024,4614,POLICY600,7/16/2018,12/10/2020,4/18/2020,29500,0.14,11500,1020,2570,Suspension checked,Replaced tail light,,4041,5,
129,Mercedes-Benz,Silverado,2019,G2HP366KAHL45292,KVN231,Gray,8/10/2021,11/6/2021,610,Ended,1942,2/1/2024,9236,POLICY860,10/29/2017,6/16/2018,9/11/2023,23800,0.22,11100,1190,2070,Transmission serviced,,Upgraded audio system,5687,4,
130,Audi,C-Class,2019,R8HW559VFTF27582,KVT026,Red,9/9/2020,2/17/2022,710,Pending,575,2/7/2024,9631,POLICY179,8/22/2017,12/3/2018,3/14/2017,15700,0.25,14800,1200,3810,Brake system serviced,Front bumper repainted,Sport package,4929,1,Multiple lessees
131,Audi,Altima,2022,F9UM451TWXF46382,GXA053,Orange,9/19/2019,5/20/2023,270,Active,5707,7/30/2024,9786,POLICY073,2/23/2017,10/27/2017,7/24/2020,25700,0.25,14600,1050,1330,,Minor dents from hail,,7351,1,
132,Mercedes-Benz,Model S,2019,R3EA370WVNV17950,YVG793,Orange,11/12/2019,5/16/2023,430,Ended,589,8/20/2024,3354,POLICY694,4/5/2019,3/7/2019,7/15/2022,25000,0.17,22800,620,3350,,,Heated seats,2745,5,Regular maintenance required
133,Mercedes-Benz,3 Series,2021,T5NS552HGJB89362,AIA255,Blue,6/28/2023,7/31/2023,450,Ended,4571,8/25/2024,5804,POLICY940,3/14/2023,12/8/2022,5/8/2023,20600,0.26,11900,310,4890,New tires installed,,,7653,4,
134,BMW,3 Series,2020,X4TB493JTNN78091,ZPL372,Gray,10/16/2023,11/30/2023,320,Ended,1743,7/25/2024,7751,POLICY504,4/23/2018,10/6/2023,4/30/2021,16400,0.14,13600,1360,3970,Transmission serviced,Dent on rear quarter panel,Sunroof,2122,2,Due for next service soon
135,Chevrolet,Altima,2020,U3PL304AMVJ50008,NTH366,Orange,12/16/2019,9/18/2022,670,Pending,5897,8/20/2024,6122,POLICY531,6/26/2023,3/15/2018,4/28/2017,27000,0.11,13200,720,3730,,,heated seats,2132,1,New addition to fleet
136,Honda,3 Series,2022,P7KH977CZAF78354,PGY079,Purple,11/20/2023,11/30/2023,430,Pending,4539,2/21/2024,7626,POLICY961,9/28/2022,11/3/2023,10/14/2019,24800,0.15,13800,310,1040,,Replaced tail light,Safety package,8076,3,
137,Honda,F-150,2020,G1ZN897DPJZ53651,HAN177,Black,7/15/2019,10/7/2021,630,Active,7844,2/10/2024,7063,POLICY721,2/3/2021,2/13/2023,4/10/2021,26100,0.2,13500,920,1640,,,,4439,1,well maintained
138,Nissan,F-150,2021,C0MD067NMWR08064,NHF766,Gray,3/28/2021,2/25/2023,250,Ended,1339,6/4/2024,4033,POLICY204,10/19/2023,4/9/2021,3/30/2017,19500,0.2,17200,680,4440,,Rear bumper replaced,navigation system,9501,3,Due for next service soon
139,Nissan,Golf,2022,V8DK052VRKX43544,ENP500,Gray,2/11/2020,3/12/2022,420,Active,2160,4/24/2024,8267,POLICY254,1/1/2019,5/5/2018,4/16/2023,19000,0.28,17500,340,970,New tires installed,,Upgraded audio system,9625,3,Due for next service soon
140,BMW,Silverado,2017,B5CM759ATDY90469,DZA828,Yellow,12/18/2018,6/29/2019,560,Ended,7048,4/18/2024,3703,POLICY144,4/23/2018,9/28/2020,11/3/2018,22200,0.21,10700,370,4310,,,,9709,1,
141,Volkswagen,Silverado,2023,A1US694KVGE65689,QPA113,Yellow,1/29/2021,11/12/2021,550,Active,1350,6/22/2024,7671,POLICY696,5/14/2023,2/5/2017,4/25/2018,18900,0.2,16600,1450,3600,Brake system serviced,,backup camera,3710,1,Multiple lessees
142,Chevrolet,3 Series,2020,Z3TR286FPWS20886,ZXB354,Purple,7/1/2017,1/16/2020,750,Pending,945,7/23/2024,6075,POLICY276,11/11/2022,9/16/2018,2/10/2017,16100,0.27,13900,530,1910,Tire rotation,,navigation system,8587,3,
143,BMW,Civic,2020,T3YF429UWVZ13770,PRQ317,Blue,4/17/2022,11/13/2022,750,Pending,1074,10/8/2024,5646,POLICY573,5/16/2019,1/4/2021,9/8/2020,20100,0.23,18700,940,2000,Oil change,Minor dents from hail,keyless entry,7584,2,
144,Mercedes-Benz,3 Series,2023,Y9NK459PZKB14575,RPH217,Gray,5/6/2023,12/2/2023,420,Active,5493,2/5/2024,2461,POLICY126,9/21/2019,1/13/2020,10/1/2020,15100,0.2,11800,940,4160,Air filter replaced,,keyless entry,2427,3,New addition to fleet
145,Ford,Altima,2019,N6XF239ZFSU13156,FST034,Black,10/20/2021,8/12/2022,370,Pending,7649,4/22/2024,4884,POLICY253,1/6/2023,10/31/2021,5/24/2021,28900,0.14,16200,600,3040,Transmission serviced,Rear bumper replaced,navigation system,6080,4,Regular maintenance required
146,BMW,Civic,2022,P1XN795CKNE66974,EVN791,Red,11/27/2022,9/15/2023,670,Ended,3179,10/5/2024,1698,POLICY395,12/8/2023,7/28/2021,6/25/2018,21300,0.13,14700,1150,4980,Brake system serviced,Small chip in windshield,navigation system,1396,2,
147,Mercedes-Benz,3 Series,2021,Y2GD200KVXC88690,RMH171,Black,2/22/2022,2/27/2022,690,Active,9309,5/2/2024,232,POLICY092,4/1/2022,2/7/2020,12/21/2020,24800,0.24,15900,710,3370,Suspension checked,,Leather seats,8272,2,
148,Nissan,Golf,2018,Z1XT649NHPT95015,VWH199,Gray,1/29/2021,10/14/2023,440,Ended,4370,11/2/2024,3608,POLICY281,9/6/2017,6/9/2020,2/6/2023,26600,0.22,26600,1380,4320,,,backup camera,5513,4,
149,Mercedes-Benz,Civic,2022,Z4RM272YUCX88019,EQC416,Black,10/29/2022,7/23/2023,730,Ended,3992,10/7/2024,2645,POLICY930,9/25/2021,7/19/2018,6/27/2023,25700,0.17,10400,800,1170,AC system overhaul,,,9914,4,handle with care
150,Chevrolet,F-150,2018,G1RA251XZMN85412,WSP134,Silver,12/27/2022,2/6/2023,600,Pending,9697,12/29/2024,7041,POLICY603,11/2/2020,4/14/2022,11/1/2020,18100,0.23,16800,1250,720,Brake pads,,,7823,1,
151,Honda,A4,2022,D4JV528RRDW81948,TGX152,Silver,8/20/2018,7/26/2022,300,Ended,9071,6/5/2024,4318,POLICY023,6/3/2017,9/26/2019,11/7/2021,22100,0.23,20000,1450,3050,Air filter replaced,,blind spot monitor,1281,2,
152,Nissan,Golf,2017,P3BR365BFNK23679,PBN178,Orange,3/23/2021,9/25/2022,520,Active,9817,6/23/2024,6434,POLICY678,1/13/2021,12/5/2018,3/25/2020,22500,0.26,10900,220,4630,Oil change,,backup camera,4540,4,
153,BMW,A4,2023,A8HT010RMUX02987,IUR152,Gray,9/8/2019,11/8/2020,410,Pending,3391,10/26/2024,1015,POLICY289,2/8/2018,4/29/2017,6/14/2023,22000,0.29,18700,910,2550,Transmission serviced,,,1538,3,
154,Toyota,Silverado,2019,T3SL568BUUG81481,PLO918,Red,8/29/2022,11/14/2023,500,Active,2651,9/2/2024,1397,POLICY164,7/2/2019,6/8/2018,7/26/2023,18800,0.15,14500,410,2840,Oil change,,Heated seats,1806,1,Premium client
155,Tesla,Corolla,2021,Y0ZX668RPEC54808,HEF733,Green,6/21/2018,2/26/2020,680,Pending,3381,12/25/2024,3170,POLICY883,7/12/2019,4/26/2023,9/6/2023,18000,0.23,16700,200,3750,Brake system serviced,,blind spot monitor,2729,1,Multiple lessees
156,Nissan,Golf,2018,X1EF546WMRA83444,GRE706,Black,8/7/2021,7/16/2022,250,Pending,3236,10/26/2024,7386,POLICY036,4/11/2018,6/19/2023,9/18/2019,26100,0.29,21900,460,3850,Oil change,Rear bumper replaced,Sunroof,8174,5,
157,Chevrolet,Model S,2020,T6GL920LBCA85234,ARG454,Blue,5/4/2022,8/26/2022,440,Active,8205,8/5/2024,769,POLICY452,12/23/2023,8/5/2018,4/23/2017,15700,0.29,15200,420,2020,,,heated seats,2097,3,handle with care
158,Toyota,Silverado,2020,C9JG067SRND99459,TNX677,Silver,9/23/2018,10/1/2023,490,Active,6032,5/5/2024,4730,POLICY281,2/13/2022,8/7/2023,8/5/2023,19100,0.22,11500,1200,4750,Full inspection completed,Small chip in windshield,,3796,5,
159,BMW,Altima,2023,Y8LS869LBVN14718,XEI241,Purple,11/27/2018,12/6/2022,250,Pending,2353,3/28/2024,8347,POLICY155,6/13/2021,11/6/2021,1/30/2017,17400,0.14,10000,1340,3540,Full inspection completed,,Leather seats,8163,3,
160,Tesla,Civic,2023,C6EM008ECLU12922,CAS793,Red,9/11/2019,11/18/2019,660,Active,2589,9/2/2024,8914,POLICY473,12/11/2020,12/17/2019,11/5/2020,26200,0.25,22100,1180,2780,New tires installed,,,3024,5,
161,Toyota,F-150,2017,U1NJ137LDUW50572,KEG588,Blue,8/11/2017,8/7/2021,310,Pending,8612,8/24/2024,1937,POLICY035,9/20/2021,9/15/2021,12/9/2018,26400,0.21,14500,820,2910,Brake system serviced,,Safety package,9849,2,
162,Ford,Altima,2021,V3PV302FWMD44222,BQF622,Blue,2/5/2017,11/23/2018,260,Pending,6048,8/5/2024,7647,POLICY069,11/25/2017,9/22/2019,2/1/2017,23200,0.16,18200,740,3660,Suspension checked,,Safety package,4330,1,handle with care
163,Ford,Altima,2018,Y6PD645LZCG86950,FYK661,White,3/12/2019,8/1/2021,360,Ended,7821,2/24/2024,5775,POLICY555,2/12/2022,11/3/2021,5/19/2020,21700,0.25,15200,340,530,New tires installed,Windshield chip repair,roof rack,8083,1,Good condition
164,Honda,Altima,2021,Z3SJ607PLYB82392,OGN051,White,12/20/2019,11/21/2023,600,Ended,4863,5/17/2024,8095,POLICY551,6/29/2019,7/7/2017,4/5/2017,18000,0.2,12100,1150,1720,Brake pads,Rear bumper replaced,,6716,1,
165,Audi,Corolla,2022,S8AY424PXBS33853,TFX955,Red,11/29/2017,9/21/2018,800,Pending,6560,3/7/2024,2725,POLICY293,7/12/2019,11/12/2022,11/22/2023,28600,0.24,17400,1340,4270,,,navigation system,6721,3,New addition to fleet
166,Chevrolet,Civic,2018,F2VF291GGEA01284,HXM861,Green,11/26/2023,12/13/2023,760,Active,9520,2/2/2024,331,POLICY752,4/15/2023,5/7/2021,4/2/2019,26700,0.26,24500,900,3330,,,blind spot monitor,2114,2,handle with care
167,Tesla,3 Series,2018,R1WA305RZBU97270,ETV520,Gray,1/2/2018,4/21/2023,380,Active,9613,3/29/2024,7184,POLICY571,1/14/2019,5/6/2018,3/6/2021,19100,0.14,10200,580,2450,,,Leather seats,8724,2,
168,Audi,Model S,2021,M7UJ799AHFV81889,CDV179,Gray,1/28/2021,2/4/2023,620,Pending,6161,4/30/2024,8809,POLICY121,8/8/2023,6/15/2019,12/1/2017,21700,0.16,19600,890,1690,Brake pads,,,1322,5,
169,Chevrolet,Corolla,2022,A8UY458DTYG99988,BEB558,Black,7/28/2023,12/10/2023,320,Pending,7999,6/19/2024,840,POLICY719,2/3/2021,8/8/2023,3/30/2017,28500,0.11,21600,1140,4380,Air filter replaced,Small chip in windshield,Hybrid model,1895,5,Check engine light reported
170,Chevrolet,Silverado,2022,E3LC611MPAN98391,NKE702,Red,11/24/2018,7/1/2021,590,Ended,9229,7/17/2024,842,POLICY284,1/18/2019,11/12/2021,9/11/2021,19200,0.17,15000,1290,2000,Tire rotation,Front bumper repainted,,7124,5,
171,Chevrolet,C-Class,2019,N0ZA623KLJX46124,EFI533,Silver,8/12/2018,3/29/2021,440,Pending,5539,11/12/2024,7962,POLICY739,6/15/2018,10/1/2022,2/1/2022,24100,0.13,13000,510,880,Routine maintenance,Replaced tail light,tinted windows,2255,4,
172,Ford,C-Class,2022,T8BM571SKND72807,AHY508,Red,12/4/2021,4/2/2023,720,Active,112,11/1/2024,7113,POLICY737,10/13/2023,7/9/2018,11/12/2017,24000,0.28,21900,1200,890,New tires installed,,blind spot monitor,3695,3,Check engine light reported
173,Mercedes-Benz,Civic,2020,H4DM282XWTW76037,BLK807,Black,12/21/2019,10/8/2021,560,Active,8155,10/19/2024,3987,POLICY976,12/9/2023,3/20/2023,11/3/2017,18400,0.13,13300,310,1960,,,,2831,4,Check engine light reported
174,BMW,Model S,2017,C1DA666UWPZ30540,NCM341,Yellow,3/4/2021,9/29/2021,360,Active,5051,10/9/2024,35,POLICY321,2/15/2017,3/9/2023,6/9/2023,22400,0.18,14100,1080,4640,Brake system serviced,,Upgraded audio system,7927,5,
175,BMW,Silverado,2017,S7BL106GMRJ52532,DBJ168,Green,10/11/2023,11/19/2023,490,Active,7045,6/13/2024,5306,POLICY559,12/2/2023,7/17/2020,5/26/2021,18100,0.14,10200,320,4460,Suspension checked,,Upgraded audio system,3611,4,
176,Ford,Corolla,2017,X8CB480PPVK55333,YTO285,Orange,5/25/2023,11/12/2023,340,Ended,8605,12/17/2024,476,POLICY285,3/11/2020,1/20/2018,5/29/2022,18200,0.29,10400,1380,4660,Oil change,Front windshield replaced,alloy wheels,7061,3,
177,Mercedes-Benz,A4,2018,D7AJ333NWSV06586,MTE249,Silver,8/3/2018,12/11/2021,550,Pending,9181,6/21/2024,9146,POLICY361,8/26/2023,4/1/2019,6/30/2020,21300,0.19,11800,1280,4020,,,GPS navigation,7120,1,New addition to fleet
178,Nissan,F-150,2022,Y1FT884SKMZ68762,XWW676,Red,8/26/2019,11/16/2022,410,Active,2829,8/26/2024,185,POLICY420,10/21/2020,7/24/2018,2/18/2019,23300,0.18,18800,670,3420,,,,8409,2,
179,Chevrolet,Corolla,2019,U7UN831CFPV58221,MTG643,Gray,9/30/2019,2/11/2020,770,Active,988,9/8/2024,2732,POLICY765,10/28/2020,6/29/2020,1/19/2018,19800,0.11,16700,810,3550,,,,7517,4,Premium client
180,Mercedes-Benz,C-Class,2022,L2RW624TWCL82523,VEJ023,Red,9/10/2018,1/13/2021,670,Active,6761,4/22/2024,8906,POLICY287,7/24/2018,9/15/2022,8/14/2022,19000,0.18,13200,1340,2000,,Replaced tail light,,4820,1,
181,Volkswagen,Golf,2023,Y6PZ243KBLP99742,DPW765,Orange,12/17/2020,1/20/2021,590,Ended,4291,11/3/2024,5323,POLICY874,1/11/2023,3/5/2022,5/27/2020,22300,0.14,20100,1080,1500,Suspension checked,,,5366,5,
182,BMW,Altima,2017,A5BM463KUTA63100,GHS101,White,9/27/2019,2/14/2021,280,Pending,3849,6/12/2024,6378,POLICY741,7/7/2023,5/14/2023,8/26/2019,20100,0.18,13600,610,2540,Brake system serviced,,roof rack,4305,3,
183,Nissan,Silverado,2020,T1YY840NAPV32911,DPN409,Red,8/23/2017,7/29/2018,750,Ended,9704,6/20/2024,2306,POLICY853,6/3/2018,5/31/2019,9/23/2019,24600,0.11,14900,380,4800,Air filter replaced,,navigation system,8340,3,
184,Tesla,Corolla,2022,P5DP412EWRK58070,MOU768,Orange,12/29/2020,10/18/2022,320,Active,7821,12/25/2024,8152,POLICY483,12/20/2023,2/22/2019,5/1/2017,16500,0.21,16300,280,3400,Tire rotation,,heated seats,3306,1,Multiple lessees
185,Tesla,A4,2023,W7JV577EMDG60230,ADQ189,Gray,1/18/2018,3/23/2023,320,Ended,8878,5/30/2024,4571,POLICY988,8/31/2021,7/7/2020,11/8/2017,26900,0.17,24500,660,1050,Battery replacement,,,2326,2,Premium client
186,Mercedes-Benz,Altima,2023,R9SZ028KDTK19351,WWX820,Silver,9/28/2019,2/2/2022,620,Ended,4898,7/27/2024,2760,POLICY010,3/6/2021,4/25/2023,8/22/2019,19900,0.1,11400,330,3860,Routine maintenance,,keyless entry,6131,5,
187,Toyota,Golf,2022,S6ZZ243BLNL83268,YQS784,Purple,1/3/2023,11/15/2023,500,Pending,6882,5/9/2024,8128,POLICY832,8/11/2021,7/20/2020,9/16/2022,25300,0.29,17800,1330,2520,,,,8385,2,
188,Nissan,Silverado,2019,R0ZU774RBGP68519,ZKH124,Yellow,8/11/2018,1/23/2019,350,Pending,9922,7/26/2024,8512,POLICY053,11/20/2019,7/30/2018,5/31/2021,29300,0.16,26700,290,4290,Brake system serviced,,backup camera,4538,4,
189,Honda,F-150,2019,F5GT534BAFH01920,RXV957,Black,2/22/2021,8/28/2023,610,Ended,3443,10/23/2024,2449,POLICY586,1/16/2018,6/11/2017,11/15/2018,21200,0.24,18400,1480,950,Transmission serviced,,,5699,4,
190,Mercedes-Benz,Corolla,2019,M3VL452ESTN66370,ATR775,Purple,1/22/2018,8/25/2018,580,Ended,9284,6/8/2024,1434,POLICY573,5/10/2022,2/21/2018,5/9/2021,15500,0.29,15500,950,4670,Battery replacement,,Sport package,3756,1,Premium client
191,Toyota,Corolla,2021,B8AZ763SHKP01475,BJA380,Blue,4/1/2018,9/16/2020,630,Ended,7490,7/10/2024,2318,POLICY052,9/12/2019,10/12/2023,8/3/2022,21200,0.26,10600,980,3060,Air filter replaced,,Sport package,1049,1,
192,Toyota,C-Class,2020,G2JE290LBZV71042,NVX589,Gray,8/18/2023,12/1/2023,700,Active,4880,3/22/2024,3177,POLICY818,8/24/2023,3/17/2021,4/12/2018,25700,0.11,19400,280,4770,,,blind spot monitor,8401,3,Premium client
193,Mercedes-Benz,Model S,2017,P1RX921KGSZ82415,XHU538,Red,3/5/2017,5/28/2021,420,Ended,468,11/13/2024,9479,POLICY116,4/21/2023,7/12/2019,11/15/2020,19900,0.11,19500,1000,1470,Routine maintenance,,,4368,2,handle with care
194,Mercedes-Benz,Civic,2021,B9BX789LDKA37407,IRV815,Yellow,8/24/2023,10/30/2023,730,Ended,5472,5/10/2024,8769,POLICY405,6/30/2021,11/24/2022,10/9/2017,18900,0.16,10600,210,3520,Tire rotation,,alloy wheels,8078,3,Suitable for colder regions
195,Honda,Altima,2023,B4MB200WJRA02620,XKJ081,Silver,3/22/2017,12/6/2022,330,Pending,9214,7/21/2024,1050,POLICY469,1/20/2019,8/6/2017,11/27/2017,21600,0.29,19000,1490,2440,Transmission serviced,,,3350,4,
196,Mercedes-Benz,F-150,2019,X8XX916HNHN72059,LYP039,Gray,1/14/2023,3/12/2023,670,Ended,2523,11/14/2024,3901,POLICY784,4/8/2020,5/10/2017,8/11/2018,17600,0.3,10100,250,3760,,,keyless entry,7744,5,
197,Audi,Golf,2023,E3WN709DZDG38555,CQT403,Gray,9/6/2023,11/4/2023,340,Ended,9776,10/14/2024,9867,POLICY154,4/25/2023,4/27/2019,1/13/2017,22700,0.23,21200,440,3970,Suspension checked,Scratch on hood,Hybrid model,2531,2,Good condition
198,Tesla,Model S,2019,C6LL892HPKU04781,GBS135,White,3/8/2023,8/29/2023,600,Active,9776,3/5/2024,3698,POLICY135,5/12/2019,10/9/2019,1/31/2021,23300,0.11,10800,720,2110,Brake system serviced,,Hybrid model,7481,5,Multiple lessees
199,Honda,Corolla,2022,X9LV807SZRH64790,IZD981,White,6/15/2022,12/5/2022,670,Active,3008,9/20/2024,7826,POLICY845,10/10/2023,8/22/2021,7/13/2017,27300,0.28,15700,510,3190,AC system overhaul,Scratch on hood,Upgraded audio system,8961,3,
200,Volkswagen,Model S,2019,S6MF454SFGP83386,KEI163,White,10/21/2021,8/28/2023,600,Ended,6291,8/20/2024,6273,POLICY323,4/18/2019,4/10/2020,8/17/2021,21900,0.28,11700,1200,3240,Suspension checked,Front windshield replaced,,9650,5,well maintained
201,BMW,3 Series,2021,B4PD770PGYR16857,TMS020,White,12/20/2021,10/12/2023,390,Ended,3855,2/11/2024,8629,POLICY801,1/5/2018,11/9/2021,10/25/2021,18600,0.17,14500,1230,3040,Tire rotation,,Safety package,2443,3,Due for next service soon
202,Nissan,Golf,2017,L2RZ195GPVX56145,YLI404,Gray,3/10/2021,7/13/2022,570,Pending,6036,9/25/2024,1985,POLICY878,2/1/2018,10/10/2023,1/17/2018,22800,0.13,20400,440,2180,,,alloy wheels,8544,5,Due for next service soon
203,Audi,3 Series,2021,P2RT097KBCU72694,JLK708,Gray,11/9/2019,9/20/2023,370,Ended,1386,11/6/2024,7682,POLICY976,11/4/2022,1/11/2017,9/28/2018,15200,0.21,13200,720,540,Suspension checked,,Leather seats,8478,4,handle with care
204,Chevrolet,Corolla,2023,C7WJ010ALUH86120,OAW919,Red,6/17/2023,7/3/2023,530,Pending,4285,10/31/2024,5444,POLICY585,3/28/2022,8/10/2021,8/18/2022,21200,0.21,11100,980,2430,,,Hybrid model,3745,5,Lease extension possible
205,Mercedes-Benz,Altima,2021,D3JL107WUWA52367,GDK159,Purple,3/10/2021,8/15/2021,420,Active,1154,9/25/2024,8518,POLICY836,11/17/2021,5/18/2018,3/12/2017,17000,0.23,16200,910,1380,,,Heated seats,6776,2,Check engine light reported
